"Listing Number","Cumulative DOM","Days On Market","Short Address","Baths - Full","Baths - Half","Cancel Date","Listing Date","List Price","Front Exp","Expiration Date","Parcel ID","Sold Date","Sold Price","SqFt - Living","SqFt - Total","Under Contract Date","Withdrawn Date","Year Built","Year Roof Installed","SqFt - Guest House","Construction: CBS","Storm Protection: Accordion Shutters","Storm Protection: Impact Glass","Storm Protection: Panel Shutters","Public Remarks","Area","Temp Off Market Date","Garage Spaces","Furnished: Furnished","Subdivision","Terms of Sale","Zip Code","Baths - Total","City","Guest House","High School","Homeowners Assoc","Lot SqFt","Private Pool","Legal Desc","Spa","State/Province","Street #","Tax Year","Taxes","Total Bedrooms","Total Floors/Stories","Total Units in Bldg","Ttl Units in Complex","Original List Price","Unit Floor #","Unit #","Type","Geo Lat","Geo Lon","HOA/POA/COA (Monthly)","Special Assessment","Waterfront","Status","Status Change Date","Subdiv. Amenities: Tennis","Subdiv. Amenities: Pool","Subdiv. Amenities: Manager on Site","Subdiv. Amenities: Fitness Center","Subdiv. Amenities: Elevator","Subdiv. Amenities: Golf Course","Subdiv. Amenities: Clubhouse","Security: Gate - Manned","Security: Gate - Unmanned","Security: Doorman","Security: Lobby","Parking: Garage - Building","Parking: Garage - Detached","Parking: Open","Parking: Covered","Lot Description: < 1/4 Acre","Lot Description: 1 to < 2 Acres","Lot Description: 1/2 to < 1 Acre","Lot Description: 1/4 to 1/2 Acre","Gated Community","Development Name","Listing Agent","Listing Office","Buyer Agent","Buyer Office","Fallthrough Date"
"RX-11084043","121","121","315 S Lake Drive 3f","2","1","","2025-04-23","4995000.00","N","","50434322170030060","","","1830.00","2342.00","","","1969","","","Yes","","Complete","","Completely renovated and spacious 2BR/2.5BA corner unit in the iconic Southlake, designed by Howard Chilton. Enjoy expansive Intracoastal and park views from every room and from the oversized covered balcony, perfect for outdoor living. Features include porcelain tile flooring, hurricane impact windows, crown molding, sound system, motorized blinds, top-of-the-line appliances, and bathrooms with Calacatta Gold marble and designer fixtures. Generous walk-in closets and high-end finishes throughout. Southlake is a full-service, pet-friendly boutique building just blocks from the town docks, beach, bike trail, fine dining, shopping, golf, galleries, and private clubs. Impeccably maintained, this residence offers the best of Palm Beach living.","5002","","0.00","","SOUTHLAKE COND DECL IN","","33480","2.10","Palm Beach","","","M","","No","SOUTHLAKE CONDOMINIUM APT 3-F","","FL","315","2024","35514.00","2","6.00","32","32.00","4995000.00","3.00","3f","CD","26.704976","-80.043218","4734.00","No","No","A","2025-10-28","","","Yes","","Yes","","","","","Yes","Yes","","","","Yes","","","","","N","Southlake","Patricia Mahaney","Sotheby's Intl. Realty, Inc. (988061)","","",""
"RX-11120408","99","99","269 Jamaica Lane","4","1","","2025-09-02","18500000.00","S","","50434310010000050","","","4936.00","4936.00","","","2025","","","Yes","","Complete","","Classic architectural detail and design are highlighted throughout this elegant, brand new Palm Beach residence located just steps from the desirable lake trail. The light-filled great room, with soaring ceilings and a cozy fireplace, anchors the home which is complemented by a gracious primary suite and beautifully designed ensuite bath, three additional guest suites providing privacy for family and guests, and a dedicated home office. Outdoors, the lush landscaping surrounds the sparkling lap pool and relaxation space. Designed by Richard Sammons of Fairfax & Sammons and built by Patrick Marrano, a premier builder in Palm Beach and Western New York, the home reflects timeless elegance and masterful proportions. Completion is anticipated in time to be fully enjoyed by the 2025-26 season.","5001","","2.00","","JAMAICA LANE IN","","33480","4.10","Palm Beach","","","N","11300.00","Yes","JAMAICA LANE LT 5","","FL","269","2024","85999.00","4","2.00","","","18500000.00","","","SF","26.747047","-80.039442","","No","No","A","2025-09-02","","","","","","","","","","","","","","","","","","","Yes","N","","Heather Bretzlaff","Compass Florida LLC (273007303)","","",""
"RX-11143499","16","16","4444 Washington Road","3","2","","2025-11-24","6495000.00","W","","74434403030000340","","","3434.00","4690.00","","","2023","2023","","Yes","","Complete","","Set on a 9,345± square-foot lot, this SoSo residence combines privacy, thoughtful design, and a prime location near the Intracoastal bike path and Palm Beach Island. This contemporary residence offers 4,690± total square feet with 4 bedrooms, 3 full bathrooms, and two half bathrooms. Recent updates, including a new pool, all-new landscaping, a gated entry, and a perimeter wall, enhance privacy and curb appeal while maintaining a streamlined modern aesthetic.    The main living areas are oriented around the pool, creating a natural connection between indoor and outdoor living. The living room features soaring ceilings and expansive sliding glass doors that open east to the pool and west to a terrace and lawn surrounded by mature trees and lush greenery.","5440","","2.00","","Worth Court WPB 1st Add In","","33480","3.20","Palm Beach","","","N","9345.00","Yes","WORTH COURT 1ST ADD LT 34","","FL","4444","2025","58108.00","4","2.00","","","6495000.00","","","SF","26.672456","-80.050635","","No","No","A","2025-11-25","","","","","","","","","","","","","","","","Yes","","","","N","","Todd Peter","Sotheby's Intl. Realty, Inc. (988061)","","",""
"RX-11085259","228","228","235 Sunrise Avenue 1051","1","0","","2025-04-25","383000.00","S","","50434315280000010","","","512.00","512.00","","","1925","2018","","","","Complete","","Financing options available?message for details!  Rarely available studio garden apartment in the iconic Palm Beach Hotel with private pool deck & patio access?the ultimate Palm Beach retreat. Fully furnished with soaring ceilings, full-size refrigerator, and stovetop, perfect for extended stays.  Unbeatable location: one block to the beach, The Breakers, shops, and dining.  No rental restrictions?ideal for Airbnb, short-term, or long-term rentals. HOA includes water, electric, Wi-Fi, trash, building insurance, heated pool, 24/7 front desk, and free valet.  &#10024; Bonus: Adjoining Unit 1050 is also for sale?buy both to create a rare 2BR/2BA setup or rent separately for maximum income.  Schedule your private showing today!","5002","","0.00","Yes","PALM BEACH HOTEL CONDO","","33480","1.00","Palm Beach","","","M","","No","PALM BEACH HOTEL COND UNITS R-G-1 & R-G-2","","FL","235","2024","0.00","1","4.00","198","","425000.00","1.00","1051","CD","26.720486","-80.039203","1559.47","No","No","A","2025-10-06","","Yes","Yes","Yes","Yes","","","","","Yes","","","","","","","","","","N","","Maria Termotto-Horwitz","Keller Williams Realty/P B (607508)","","",""
"RX-11135249","47","47","2 N Breakers Row Row Ph4","3","1","","2025-10-24","15500000.00","E","","50434323250010540","","","3560.00","3560.00","","","1986","","","Yes","Partial","Complete","","This rare P.B. penthouse located on the famed Breakers Palm Beach Resort property with coveted East, South & West views overlooks the Atlantic ocean, cityscape and golf course. This 3-bed, 3-bath PH is one of only 4 PHs with high ceilings & floor-to-ceiling windows that fill the home with natural light, opening onto a huge, private covered terrace. The building is full service with full security and Breakers amenities. Enjoy a private pool, private cabana (deeded to PH4) and newly renovated gym/pilates studio. Located in the heart of Palm Beach directly on a private beach, the unit is close to shopping, restaurants, golf, tennis, pickleball, biking & marinas. This is your chance to own one of the rarest penthouses on Palm Beach.","5002","","2.00","","TWO NORTH BREAKERS ROW CONDO","","33480","3.10","Palm Beach","N","","M","","No","TWO NORTH BREAKERS ROW COND UNIT N-PH4","","FL","2","2024","205319.00","3","5.00","48","","15500000.00","5.00","Ph4","CD","26.717612","-80.034579","13577.25","No","Yes","A","2025-10-25","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","","","Yes","","","","","Y","Two North Breakers Row","Jack Elkins","William Raveis Real Estate (273007370)","","",""
"RX-11131481","65","65","301 Australian Avenue 306","1","0","","2025-10-06","1100000.00","E","","Florida Mph Llc","","","330.00","789.00","","","1926","","","","","Complete","","Most romantic Palm Beach retreat at the quintessential historic Brazilian Court, just steps from Worth avenue. Elegant private 1 bedroom 1 bath, fully furnished, extending into an oversized roof terrace overlooking the tranquil courtyard with its fountain and lush vegetation. Luxurious accommodations, impeccable service and amenities include maid service, fitness center, Salon and acclaimed Café Boulud Restaurant. Unit owners enjoy the privileges of hotel guests including access to concierge services, fitness, pool, spa, and of course, room service from Cafe Boulud! Additionally, unit owners may choose to offer their property in the Brazilian Court's full-service rental program and earn income when not in residence.","5002","","0.00","Yes","BRAZILIAN COURT HOTEL AND CONDO","","33480","1.00","Palm Beach","","","M","43560.00","No","BRAZILIAN COURT HOTEL AND CONDOMINIUM RU-306 IN OR20957P873","","FL","301","2024","5905.00","1","3.00","80","80.00","1100000.00","3.00","306","CH","26.703855","-80.039103","1297.77","No","No","A","2025-10-10","","Yes","Yes","Yes","Yes","","","","","","Yes","","","","","","Yes","","","N","","Suzanne Stoll","Sotheby's Intl. Realty, Inc. (988061)","","",""
"RX-11136922","200","41","2780 S Ocean Boulevard 311","2","0","","2025-10-30","1200000.00","N","","50434423120003110","","","1294.00","1294.00","","","1968","","","","","","","Experience effortless oceanfront living in this stunning, fully renovated two-bedroom, two-bathroom residence showcasing panoramic ocean views from every room. Bathed in natural light, the spacious interiors flow to private balconies through floor-to-ceiling impact glass sliders?creating a seamless connection between indoor comfort and the sea beyond. Additional highlights include a gourmet kitchen with high-end appliances and wine fridge, an in-unit washer/dryer, and abundant closet space. Enjoy resort-style amenities including direct beach access with private chaise lounges, a glamorous oceanfront pool, fitness center, and an elegant club room. Perfectly situated on an intimate stretch of white-sand beach adjacent to the Four Seasons and just minutes from Worth Avenue.","5004","","0.00","","AMBASSADOR II CORP","","33480","2.00","Palm Beach","","","M","180559.00","No","AMBASSADOR II CORP APT 311","","FL","2780","2024","8942.00","2","8.00","","","1250000.00","3.00","311","CD","26.619691","-80.037628","2147.00","No","Yes","A","2025-10-31","","Yes","Yes","Yes","","","","","","Yes","Yes","","","Yes","","","","","","N","","Benjamin Stein","Sotheby's Intl. Realty, Inc. (988061)","","",""
"RX-11089069","215","215","2860 S Ocean Boulevard 202","1","1","","2025-05-09","400000.00","N","","50434423030002020","","","1180.00","1180.00","","","1971","2023","","Yes","Complete","","","Beautifully updated and full of charm, this immaculate 1 bedroom, 1.5 bath residence at La Palma Condominium offers stylish living with a coastal flair. The apartment features tasteful furnishings, generous storage, an eat-in kitchen, a covered balcony and serene views of the Intracoastal Waterway. Residents of La Palma enjoy resort-style amenities including a saltwater pool overlooking the Intracoastal, deeded beach access just  across the street, a fitness center, sauna, BBQ and garden area, 24-hour door service and on-site management. For visiting friends and family a 2-bedroom guest suite for rent exclusively for owners. Ideally located near golf courses, tennis facilities, luxury hotels, fine dining, upscale shopping, the Lake Worth Farmers Market.","5004","","0.00","Yes","LA PALMA CONDO","","33480","1.10","Palm Beach","","","M","","No","LA PALMA CONDOMINIUM UNIT 202","","FL","2860","2024","5227.59","1","6.00","91","","510000.00","2.00","202","CD","26.616874","-80.039435","1519.00","No","Yes","A","2025-05-09","","Yes","Yes","Yes","Yes","","","","","Yes","Yes","","","","Yes","","","","","N","","Judith Lyons","Compass Florida LLC (273007303)","","",""
"RX-10999998","530","530","125 Via Vizcaya","5","2","","2024-06-28","15250000.00","S","","50434335020000150","","","4187.00","5095.00","","","2002","2024","","Yes","","Complete","","Stately and modern, this reimagined Michael Perry designed 5 bedroom/5.2 bath on well located Via Vizcaya has just been completed! The spacious floor plan has 2 primary suites, living, dining and family rooms, new gourmet eat in kitchen and baths, high beamed ceilings, hardwood floors, elevator, 2 car garage, outdoor loggia and pool. Tasteful finishes are by noted interior designer Scott Sanders and landscaping is by Mario Nievera. Enjoy for the upcoming season!","5003","","2.00","","VIA VIZCAYA ADD IN","","33480","5.20","Palm Beach","N","","N","11273.00","Yes","VIA VIZCAYA ADDITION LT 15","","FL","125","2024","127612.00","5","2.00","","","15995000.00","","","SF","26.685164","-80.036152","","No","No","A","2024-06-28","","","","","","","","","","","","","","","","Yes","","","Yes","N","","Dana Koch","The Corcoran Group (404289)","","",""
"RX-11123303","90","90","210 Wells Road","7","1","","2025-09-11","24900000.00","N","","50434314070000280","","","5467.00","6871.00","","","1993","","","Yes","","Complete","","Completely reimagined 6BR/7.1BA estate with beautiful designer finishes throughout. This stunning Courtyard home is located on the highly desirable Wells Road on the Sunny South Side of the street offering an abundance of natural light. Situated on an oversized lot, the home was beautifully renovated in 2024. The welcoming front entry opens to a breathtaking and serene courtyard that feels like your own private oasis complete with beautiful, updated landscaping, covered dining loggia, and large swimming pool. Charming stone path leads to the inviting entry foyer with marble slab flooring. The interiors feature soaring 15' ceilings in most rooms, stunning flooring, and Crestron lighting and sound systems. Elegant formal dining room with built in buffet and China cabinets and gorgeous","5001","","2.00","","ADAMS","","33480","7.10","Palm Beach","","","N","19500.00","Yes","ADAMS ADD LT 28","","FL","210","2024","150894.00","6","2.00","","","24900000.00","","","SF","26.725274","-80.038499","","No","No","A","2025-09-12","","","","","","","","","","","","","","","","","","","Yes","N","","Christian Angle","Christian Angle Real Estate (800649)","","",""
"RX-10882894","967","967","2580 S Ocean Boulevard 1c1","3","0","","2023-04-18","2595000.00","E","","50434423090010031","","","2660.00","3555.00","","","1979","","","","","Complete","","Spacious 3 bedroom, 3 bathroom Palm Beach Stratford garden apartment with a 885 sqft terrace to relax, entertain and enjoy the ocean breezes. Located in a prestigious building with only 42 luxury units, this total high end, modern renovation features floor to ceiling impact doors leading from every room to the terrace surrounded by tropical landscaping, offering living like a private oceanfront home with direct access to the pool and spa, Oceanfront sun deck, and wide beach and Ocean. Other features include marble floors, luxurious baths, and custom chef's kitchen with top of the line appliances and fixtures. Amenities include 24 hour doorman, fitness center, tennis courts, community room, and 2 space garage parking.","5004","","2.00","","PALM BEACH STRATFORD","","33480","3.00","Palm Beach","","","M","","No","PALM BEACH STRATFORD COND UNIT R1C1","","FL","2580","2024","9761.00","3","7.00","42","","2695000.00","1.00","1c1","CD","26.626647","-80.038149","3621.16","No","Yes","A","2023-04-19","Yes","Yes","","Yes","Yes","","","Yes","","Yes","Yes","Yes","","","","","","","","N","","Joan Messing","Douglas Elliman (pb802465)","","",""
"RX-11037070","394","394","1246 N Lake Way","7","1","","2024-11-11","34900000.00","E","","50434303080000130","","","4649.00","6856.00","","","1962","","","Yes","","Complete","","Spectacular Newly Completed Lakefront home with deep water dock and access to the Lake Trail. With spectacular views of the Intracoastal, this stunning home has been beautifully restored and features 5 bedrooms, 7 bathrooms, 1 powder room, and over 6,800 total square feet. Fabulous courtyard pool area perfect for outdoor entertaining with covered loggia, expansive patio, salt-water pool, and spa. Interior highlights include formal dining room, fabulous eat-in kitchen, media room, and den. Beautiful Primary Suite with dressing room, large bath with dual sinks, and breathtaking views. Additional features include lush tropical landscaping, 2-car garage, multiple balconies, and charming entry portico.","5001","","2.00","","ALTO LIDO","","33480","7.10","Palm Beach","","","N","14583.00","Yes","ALTO LIDO LT 13 /LESS E 5 FT ST R/W/ & LT 13-A","","FL","1246","2024","46282.30","5","2.00","","","34900000.00","","","SF","26.757864","-80.040847","","No","Yes","A","2024-11-14","","","","","","","","","","","","","Yes","","","","","","Yes","N","","Christian Angle","Christian Angle Real Estate (800649)","","",""
"RX-11136487","41","41","3100 S Ocean Boulevard 105s","3","0","","2025-10-30","3195000.00","S","","50434426090021050","","","2913.00","2913.00","","","1985","","","","","Complete","","This magnificent 3-bedroom, 3-bathroom lanai offers a tranquil and tropical ambiance, all in a beach house setting. Step inside this spacious, 2,913-foot renovated residence and be greeted by exquisite decorator finishes, 8' 10'' ceilings, and porcelain tile flooring that create an elegant and relaxed atmosphere. Each room has direct access to the outdoor lanai living space, adding another element of this exquisite home. Embrace the outdoors and the coastal lifestyle that Palm Beach has to offer, with direct access to the resort-style swimming pool and hot tub, a private beach, and the ocean. Indulge in an ultra-luxury lifestyle only the Palm Beach Hampton can provide. Stay fit in the new fitness facility, play tennis or pickle ball, or simply relax and unwind. Security is a top priority,","5004","","2.00","","PALM BEACH HAMPTON CONDO","","33480","3.00","Palm Beach","","","M","","No","PALM BEACH HAMPTON COND UNIT 105-S","Y","FL","3100","2025","31941.00","3","7.00","41","81.00","3195000.00","1.00","105s","CD","26.610012","-80.039088","3938.43","Yes","Yes","A","2025-10-30","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes","Yes","Yes","","","","","","","","Y","","Scott Gordon","Douglas Elliman (pb802465)","","",""
"RX-11139371","30","30","2860 S Ocean Boulevard 210","2","0","","2025-11-10","495000.00","E","","50434423030003160","","","1210.00","1330.00","","","1971","","","","Complete","","","Wonder Southern light floods this split 2 bedroom 2 bath condo with balcony views of the intracoastal. There is deeded beach access, a pool , a community party room, and a fitness center, as well as a full time door staff and on site management.  Unit is freshly painted and the popcorn ceilings have been removed.   Bring your decorator and make this your own slice of paradise!","5004","","0.00","","LA PALMA CONDO","","33480","2.00","Palm Beach","N","","M","","No","LA PALMA COND UNIT 210","","FL","2860","2024","5316.11","2","6.00","91","91.00","495000.00","2.00","210","CD","26.616884","-80.039434","1100.00","No","Yes","A","2025-11-10","","Yes","Yes","Yes","Yes","","","","","Yes","Yes","","","","","","","","","N","","Guy Clark","Douglas Elliman (pb802465)","","","2025-11-10"
"RX-11074769","261","261","3230 S Ocean Boulevard C105","2","0","","2025-03-24","389000.00","S","","50434426010001050","","","1176.00","1272.00","","","1968","","","Yes","","Complete","","Are you looking for a reasonable oceanfront property? This 2-bedroom, 2-bathroom condo is ready for you to renovate & add your personal style! Concrete restoration is complete and fully paid for. This 1st floor unit provides easy access to the heated pool, beach, community room & locker rooms. Enjoy the intracoastal view from your private balcony. A lovely lobby with glimpses into the new décor that will be coming soon to the rest of the building. Water, Cable, Wifi, his/hers saunas & a private storage locker included. Situated in the southern part of the island, it's near fabulous restaurants, shops, resorts, and the Lake Worth Pier. The condo is close to the airport and a short drive from downtown West Palm Beach & Delray Beach's theaters, nightlife, and more!","5004","","0.00","","LA RENAISSANCE","","33480","2.00","Palm Beach","N","","M","","No","LA RENAISSANCE NO 1 UNIT C-105","N","FL","3230","2024","1584.99","2","6.00","72","72.00","499000.00","1.00","C105","CD","26.603661","-80.037963","1024.00","No","Yes","A","2025-03-24","","Yes","Yes","","Yes","","","","","","Yes","","","","","","","","","N","","Janna Zaidspiner","LAER Realty Partners Bowen/Wellington (802198)","","",""
"RX-11128052","72","72","2773 S Ocean Boulevard 2050","2","0","","2025-09-29","1295000.00","N","","50434423040002050","","","1457.00","1457.00","","","1973","","","","","Complete","","GORGEOUS WATER VIEWS from this beautifully renovated Paradise with private balcony in one of Palm Beach Island's premier inter-coastal buildings! 2 Bd/2bath with sleek modern kitchen, and full impact glass. 2773 has been completely reimagined, move right in and enjoy. SELLER paying all assessments. All brand new amenities! Watch the sunset over the new 5 star infinity edge pool suspended over the water! 2773 has a brand new social room, and new lobby, with  all new landscaping surrounded by an incredible new lighted paver parking lot and a fully appointed gym. 2773 feels like your living at an exclusive resort, with your own private beach access. Located across from the Four Seasons and Par 3 golf on the ocean. Just minutes to shopping on famed Worth Ave and top restaurants!","5004","","0.00","","CARLYLE HOUSE CONDO","","33480","2.00","Palm Beach","N","","M","1389.00","No","CARLYLE HOUSE COND UNIT 205","Y","FL","2773","2024","6050.22","2","6.00","86","86.00","1295000.00","2.00","2050","CD","26.621201","-80.039541","2126.00","Yes","Yes","A","2025-09-30","","Yes","Yes","Yes","Yes","","","","","Yes","Yes","","","Yes","","","","","","N","Carlyle House","Sharon Sweet","Sotheby's Intl. Realty, Inc. (988061)","","",""
"RX-11134525","49","49","2580 S Ocean Boulevard 1c3","3","0","","2025-10-22","3699000.00","E","","50434423090010033","","","2695.00","3656.00","","","1979","","","","","Complete","","Rare opportunity in this oceanfront PB Stratford spacious 2,695±sf. 3-bedroom, 3-bath residence. Features all impact glass, beautifully upgraded interiors, and a coveted 2-car garage. Enjoy stunning direct ocean views from the expansive floor to ceiling windows. 961±sf. wraparound corner unit terrace ideal for entertaining and relaxing. Seller has paid outdoor and balcony assessments and exterior building renovations complete, offering a truly turnkey lifestyle. PB Stratford is one of Palm Beach's most exclusive, full-service buildings, with a full-time manager, security, fitness center, tennis, pool, and beach cabanas. Renowned for its large floor plans, privacy, and prime location. Move-in ready residences in PB Stratford are rarely available?don't miss this exceptional opportunity.","5004","","2.00","","PALM BEACH STRATFORD CONDO","","33480","3.00","Palm Beach","","","M","","No","PALM BEACH STRATFORD COND UNIT R1C3","","FL","2580","2025","11033.00","3","7.00","","","3699000.00","3.00","1c3","CD","26.626652","-80.038151","3621.00","No","Yes","A","2025-10-22","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","","","","","","","","N","PB Stratford","Crissy Poorman","Sotheby's Intl. Realty, Inc. (988061)","","",""
"RX-11090300","215","215","1350 N Lake Way","9","3","","2025-05-09","84000000.00","W","","50434234100000072","","","13375.00","17032.00","","","2013","","","Yes","","","","Pristine and rarely available Intracoastal front estate located in Palm Beach's serene North End. Highlights include 7BR/9.3BA, 150+/- feet of Intracoastal frontage, deep-water dock with boat lift, and over 17,000 total square feet. This rare and luxurious home boasts breathtaking lake and sunset views from all principal rooms. Gorgeous Island Colonial with stunning stone and hardwood flooring, high ceilings, and great natural light. First and second floor Primary Suites with dual baths and closets. Formal living room with fireplace and French doors leading to covered loggia. Stunning library with built-ins, formal dining room with butler's pantry, and light-filled family room. Eat-in entertaining kitchen and professional chef's kitchen both equipped with top-of-the-line appliances. The","5001","","4.00","","EDEN VILLA","","33480","9.30","Palm Beach","","","N","35631.00","Yes","EDEN VILLA SLY 46.75 FT OF LT 7 LYG W OF & ADJ TO LAKE WAY R/W & LT 8 LYG W OF & ADJ TO LAKE WAY R/W","Y","FL","1350","2024","796761.00","7","2.00","","","90000000.00","","","SF","26.763047","-80.040896","","No","Yes","A","2025-05-13","","","","","","","","","","","","","","","","","","Yes","","N","","Christian Angle","Christian Angle Real Estate (800649)","","",""
"RX-11143456","53","15","3475 S Ocean Boulevard 201","2","0","","2025-11-25","490000.00","NE","","50434435020002010","","","1395.00","1395.00","","","1967","","","","","Partial","","''Move right into this Palm Beach oceanfront furnished condo at La Bonne Vie! 2 bedrooms/ 2 bathrooms, washer and dryer in unit. Watch beautiful  sunrise and sunset views off your 2 private balconies including one off the living room and one off the primary bedroom, spacious closets, 24/7 doorman, assigned garage covered parking spot. Fabulous resort style amenities include gorgeous oceanfront pool and pool deck, private beach access a few steps away, BBQ area, fitness center, sauna, library, game room, card room, social room, Friday nights Happy Hour in the Orchid Courtyard. Nearby the Eau Hotel, Publix, restaurants, shopping, or you can drive nearby to the Four Seasons, Breakers, Worth Avenue, Royal Poinciana Plaza, shopping and restaurants. West Palm Beach Airport is 15 minutes away","5004","","1.00","Yes","LA BONNE VIE CONDO","","33480","2.00","Palm Beach","","","M","","No","LA BONNE VIE CONDOMINIUM UNIT 201","","FL","3475","2025","5399.00","2","8.00","111","","490000.00","2.00","201","CD","26.594031","-80.037834","1651.31","Yes","Yes","A","2025-11-25","","Yes","Yes","","Yes","","","","","Yes","","","","","","","","","","N","","Kathryn Badal","Brown Harris Stevens of PB (276546950)","","",""
"RX-11079472","250","250","250 Bradley Place 307","2","0","","2025-04-04","2595000.00","N","","50434315350003070","","","1227.00","1333.00","","","1963","","","Yes","","","","Beautifully renovated 2BR/2BA condominium with convenient split-bedroom floor plan. Balcony features gorgeous Intracoastal and sunset views. Stunning hardwood flooring, custom cabinetry, and top-of-the-line appliances. Lake Towers is a fantastic Lakefront In-Town building with waterfront pool and patio.","5002","","0.00","","LAKE TOWERS CONDO","","33480","2.00","Palm Beach","","","M","","No","LAKE TOWERS COND UNIT 307","","FL","250","2024","27421.60","2","7.00","","","2595000.00","3.00","307","CD","26.723711","-80.041543","1650.14","No","Yes","A","2025-04-08","","Yes","","","Yes","","","","","","Yes","","","","","","","","","N","","Christian Angle","Christian Angle Real Estate (800649)","","",""
"RX-11058711","310","310","2000 S Ocean Boulevard 201n","3","1","","2025-02-03","5700000.00","NE","","50434411050012010","","","3264.00","3519.00","","","1981","","","Yes","","","","Welcome to Residence 201N at the coveted, private, and exclusive Sloans Curve. This 3 bedroom 3 and a half bathroom home features exceptional panoramic views of the ocean, a wrap-around balcony, and a spacious floor plan for the easiest beach-front living. Sloans Curve is a luxury, secluded, and white-glove building with full time manned security, on-site staff, and a surplus of amenities within the gated compound. This direct oceanfront apartment is pristine and ready for immediate enjoyment. Enjoy the resort style pool area, top-of-the-line gym, and direct deeded beach at your fingertips. The unit offers a winning combination of both unparalleled ocean views and turn-key living.","5004","","1.00","","TWO THOUSAND COND AT SLOANS CURVE DECL FILED 12-21-81","","33480","3.10","Palm Beach","","","N","","Yes","TWO THOUSAND COND AT SLOANS CURVE BLDG NORTH UNIT 201","","FL","2000","2025","38425.00","3","5.00","","","5995000.00","2.00","201n","CD","26.644397","-80.037947","","No","Yes","A","2025-02-03","","","","Yes","Yes","","","Yes","","Yes","Yes","Yes","","","","","","","","N","","Margit Brandt","Premier Estate Properties Inc. (273007388)","","",""
"RX-11144598","9","9","369 S Lake Drive 1d","2","0","","2025-12-01","3950000.00","SE","","50434327670001040","","","2077.00","3562.00","","","1961","","","Yes","Complete","","","This elegant CO-OP offers classic Palm Beach living, ideally located steps from the new town marina, park, and Worth Avenue. This rare ground-floor 2BR/2BA offers a split layout and an exceptional 1,500± SF private terrace for seamless indoor-outdoor living, in one of the few buildings welcoming dogs of any size. A gracious foyer leads to a sun-filled living room, while the serene primary suite includes an en-suite bath and ample closets. Updated throughout with custom built-ins, timeless moldings, and refinished hardwood floors. Park Place provides full-service living with a 24/7 doorman, resort-style pool, attentive staff, and a prime walkable location near dining, shopping, and The Four Arts.","5002","","1.00","","PARK PLACE INC 369 S LAKE DR PALM BEACH FL","","33480","2.00","Palm Beach","","","M","","No","PARK PLACE INC APT 1-D","","FL","369","2025","32755.00","2","6.00","42","","3950000.00","1.00","1d","CD","26.702853","-80.042917","3756.00","No","Yes","A","2025-12-01","","","Yes","","","","","","","Yes","","","","","","","","","","N","","Brooke Murphy","Compass Florida LLC (273007303)","","",""
"RX-11126388","78","78","139 Sunrise Avenue 4090","2","0","","2025-09-23","1585000.00","S","","50434314240004090","","","990.00","1188.00","","","1980","","","Yes","","Complete","","Outstanding opportunity to own highly sought after, top floor unit at Ocean Towers South. Rarely available and recently renovated with beautiful views and Southern exposure. Located in the center of Town, with private deeded beach, heated pool, men's and lady's changing rooms with individual lockers, exercise room, bicycle room, full time manager, 24 hour security. Close to world renowned shopping, restaurants and many houses of worship. Wonderful opportunity to own for individual use or as an investment. Washer and Dryer in unit","5002","","0.00","Yes","OCEAN TOWERS SOUTH CONDO","","33480","2.00","Palm Beach","","","M","0.00","No","OCEAN TOWERS SOUTH COND UNIT 409","","FL","139","2024","14718.60","2","4.00","42","42.00","1585000.00","4.00","4090","CD","26.720417","-80.036014","1795.98","No","No","A","2025-09-23","","Yes","Yes","","Yes","","","","","Yes","Yes","","","","","","","","","N","Ocean Towers","John Pangborn","The Corcoran Group (404289)","","",""
"RX-11015792","470","470","455 Australian Avenue 3d","2","0","","2024-08-27","1977000.00","S","","50434327650003040","","","1096.00","1096.00","","","1949","","","Yes","","Complete","","Enjoy this wonderful, spacious unit conveniently located across the street from the new Palm Beach Marina, the Lake Trail, walking distance to the Beach, and 2 blocks from Worth Avenue. This quiet building nestled in the heart of Palm Beach has a 24-hr doorman, covered parking, exercise room, and more. The palm tree-lined terrace gives the outdoor space a tranquil and private feel.  Freshly painted, this unit features a Southern exposure, large balcony with room for entertaining, updated kitchen with Monogram and Sub -Zero appliances, new AC, new Stark Carpet, Pirelli Rubber tiles in the kitchen, and wonderful accent lighting. The architect's use of space is imaginative with hidden storage space tucked in everywhere and the creation of ''rooms'' with partial or whole walls. This is a very","5002","","0.00","","LAKE DRIVE CO-OP APTS INC","","33480","2.00","Palm Beach","","","M","","No","LAKE DRIVE CO-OP APTS INC APT 3-D","","FL","455","2023","20446.00","2","4.00","","","2600000.00","3.00","3d","CD","26.703658","-80.043206","2027.00","No","No","A","2024-08-27","","","","","","","","","","Yes","Yes","","","","Yes","","","Yes","","N","","Maria Fanjul-Ryan","Tina Fanjul Associates, Inc. (404195)","","",""
